customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-10070,Female,0,Yes,No,70,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,73.1,5093.68,No
CUST-10071,Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.85,541.08,No
CUST-10072,Male,0,Yes,Yes,12,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Electronic check,66.64,816.49,No
CUST-10073,Male,0,Yes,No,50,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),72.01,3596.81,No
CUST-10074,Female,0,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,87.42,1300.26,No
CUST-10075,Male,0,Yes,No,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.12,1045.75,No
CUST-10076,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,72.42,387.87,Yes
CUST-10077,Male,1,Yes,Yes,37,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,69.86,2561.03,No
CUST-10078,Female,1,No,Yes,29,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),46.18,1283.45,No
CUST-10079,Female,1,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.31,1752.55,No
CUST-10080,Female,1,No,Yes,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.01,733.36,No
CUST-10081,Male,0,No,No,67,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),89.0,5960.81,Yes
CUST-10082,Male,0,No,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.64,362.64,Yes
CUST-10083,Female,0,No,No,34,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,68.85,2329.27,No
CUST-10084,Female,0,No,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.69,1104.1,No
CUST-10085,Female,1,No,No,11,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),55.3,613.73,No
CUST-10086,Male,0,No,Yes,67,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),65.88,4440.74,No
CUST-10087,Male,0,No,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),21.1,1181.63,No
CUST-10088,Female,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),97.51,4780.13,No
CUST-10089,Female,0,No,No,17,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),85.37,1446.49,No
CUST-10090,Male,0,Yes,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,69.37,4111.31,No
CUST-10091,Female,0,No,No,61,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),73.73,4474.91,No
CUST-10092,Female,1,No,No,21,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),81.5,1702.75,Yes
CUST-10093,Male,0,Yes,No,42,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),62.52,2625.81,No
CUST-10094,Female,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),63.67,236.56,No
CUST-10095,Male,0,No,No,28,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,61.69,1755.24,No
CUST-10096,Male,0,Yes,Yes,10,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,49.64,502.77,No
CUST-10097,Female,0,Yes,No,40,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,56.59,2239.09,Yes
CUST-10098,Female,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),26.15,1054.17,No
CUST-10099,Male,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,86.08,3297.24,No
CUST-10100,Female,1,No,No,49,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Electronic check,85.35,4167.76,No
CUST-10101,Male,0,No,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),72.39,4877.36,No
CUST-10102,Female,0,No,No,14,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,64.03,901.56,Yes
CUST-10103,Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,68.4,1030.03,No
CUST-10104,Female,0,No,No,15,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,77.12,1180.77,No
CUST-10105,Female,0,Yes,No,67,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,59.05,3960.42,No
CUST-10106,Female,1,No,No,6,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,73.45,448.51,No
CUST-10107,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,68.81,139.47,Yes
CUST-10108,Male,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,64.28,672.0,Yes
CUST-10109,Female,0,No,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.62,1218.95,No
CUST-10110,Male,0,No,No,42,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),79.86,3359.16,No
CUST-10111,Female,0,Yes,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,24.29,1619.83,No
CUST-10112,Female,0,No,No,14,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,75.59,1007.27,No
CUST-10113,Male,0,Yes,No,28,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),68.54,1931.56,No
CUST-10114,Female,0,Yes,No,40,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,53.67,2129.59,No
CUST-10115,Female,0,Yes,No,5,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Mailed check,63.39,294.41,No
CUST-10116,Male,0,Yes,Yes,67,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),47.19,3137.29,No
CUST-10117,Male,0,No,No,58,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,47.86,2736.7,No
CUST-10118,Male,1,Yes,No,10,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),72.3,732.23,No
CUST-10119,Male,0,No,No,61,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,66.94,4130.46,No
CUST-10120,Male,0,Yes,No,32,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),88.41,2817.52,No
CUST-10121,Female,0,No,No,24,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),55.26,1342.66,No
CUST-10122,Female,0,No,Yes,69,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),78.78,5433.95,No
CUST-10123,Male,0,No,Yes,37,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,56.19,2084.54,No
CUST-10124,Female,0,Yes,No,16,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,75.29,1203.31,No
CUST-10125,Female,0,No,Yes,59,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,83.04,4915.01,No
CUST-10126,Male,0,No,No,52,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,57.82,2982.48,Yes
CUST-10127,Female,0,Yes,No,14,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),60.65,851.09,No
CUST-10128,Female,0,Yes,Yes,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.86,1044.84,No
CUST-10129,Female,0,Yes,No,45,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,92.81,4190.47,No
CUST-10130,Female,0,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),79.65,1599.53,No
CUST-10131,Female,1,Yes,No,31,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,50.93,1580.78,Yes
CUST-10132,Male,0,Yes,No,61,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),45.83,2788.41,No
CUST-10133,Female,0,Yes,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,82.22,979.59,No
CUST-10134,Female,1,No,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,904.93,No
CUST-10135,Male,0,Yes,Yes,60,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,55.81,3358.66,No
CUST-10136,Female,0,Yes,No,68,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),51.09,3501.42,No
CUST-10137,Male,1,No,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,419.88,No
CUST-10138,Male,0,Yes,No,19,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),80.42,1528.31,No
CUST-10139,Male,0,Yes,No,68,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),48.99,3343.3,No
CUST-10140,Female,0,Yes,Yes,33,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,61.93,2001.32,No
CUST-10141,Male,0,Yes,No,41,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),59.07,2411.73,No
CUST-10142,Male,0,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.15,929.07,No
CUST-10143,Male,0,Yes,No,37,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,46.16,1673.78,No
CUST-10144,Female,0,Yes,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.42,967.11,No
CUST-10145,Female,0,No,Yes,30,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,49.42,1445.58,No
CUST-10146,Male,0,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.33,695.06,No
CUST-10147,Male,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,526.52,Yes
CUST-10148,Female,1,Yes,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.0,842.18,No
CUST-10149,Male,0,Yes,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,1077.23,No
CUST-10150,Female,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,85.54,3424.54,No
CUST-10151,Male,0,No,Yes,49,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,58.76,2888.75,No
CUST-10152,Female,0,Yes,No,30,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,57.48,1730.07,No
CUST-10153,Male,0,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),76.17,4248.32,No
CUST-10154,Male,1,Yes,Yes,28,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.07,2357.33,No
CUST-10155,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),66.15,2009.41,No
CUST-10156,Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,80.78,331.69,Yes
CUST-10157,Female,1,Yes,No,19,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),79.64,1516.17,No
CUST-10158,Female,0,No,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.26,982.79,No
CUST-10159,Female,0,Yes,No,6,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,79.77,503.82,Yes
CUST-10160,Female,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.67,416.8,No
CUST-10161,Female,0,No,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),67.32,3759.09,No
CUST-10162,Male,0,Yes,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,1154.92,No
CUST-10163,Male,0,Yes,No,30,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),74.49,2232.96,No
CUST-10164,Male,1,No,Yes,29,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,61.61,1754.51,No
CUST-10165,Female,1,Yes,No,37,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,63.8,2377.36,No
CUST-10166,Male,1,No,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.1,1266.95,No
CUST-10167,Male,0,Yes,No,34,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,67.4,2311.06,No
CUST-10168,Male,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.64,220.3,Yes
CUST-10169,Male,1,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.13,631.78,No
CUST-10170,Male,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Mailed check,74.4,1353.18,No
CUST-10171,Male,0,Yes,Yes,49,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,61.82,3040.64,No
CUST-10172,Female,0,Yes,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,204.6,No
CUST-10173,Female,0,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.48,875.98,No
CUST-10174,Female,0,No,No,9,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,95.85,851.07,No
